id_tableau,titre_tableau,source,province,commune,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
10.11,Répartition des bureaux postaux par provinces, Régie,Ruyigi,Gisuru,"","","","",1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Ruyigi,Kinyinya,1,1,1,1,1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Ruyigi,Nyabitsinda,"","","","","",1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Ruyigi,Ruyigi,1,1,1,1,1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Rumonge,"","","","","","",5,5,5,5,5,5
10.11,Répartition des bureaux postaux par provinces, Régie,Rumonge,Buyengero,"","","","","",1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Rumonge,Burambi,"","","","","",1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Rumonge,Bugarama,"","","","","",1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Rumonge,Rumonge,"","","","","",1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Rumonge,Magara,"","","","","",1,1,1,1,1,1
