id_tableau,titre_tableau,source,code,produit,quantité,unité,2017,2018
12.02,Prix moyen à la consommation des ménages,ISTEEBU,0116 25020,Fruits de la passion (amabungo) local,1,kg,2139,2018
12.02,Prix moyen à la consommation des ménages,ISTEEBU,0116 25030,Prunes de Japon (amatunda) local,1,kg,2489,2382
12.02,Prix moyen à la consommation des ménages,ISTEEBU,0116 25040,Mangues ordinaire local (indundi),1,kg,541,616
12.02,Prix moyen à la consommation des ménages,ISTEEBU,0116 25050,Mangues greffé local,1,kg,850,1407
12.02,Prix moyen à la consommation des ménages,ISTEEBU,117,Légumes,"","","",""
12.02,Prix moyen à la consommation des ménages,ISTEEBU,1171,Légumes frais en fruits ou racines,"","","",""
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11711010,Oignons blanc local,1,Kg,1457,1680
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11711020,Oignons rouge local,1,Kg,1397,1733
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11712010,Tomates fraiches local,1,Kg,918,1049
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11713010,Conserve de Tomate (salsa) importé,70,Gr,685,714
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11714010,Petites aubergines (Intore) local,1,Kg,611,587
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11715010,Haricot vert (imikerera) local,1,Kg,2214,2728
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11715020,Petit pois vert local,1,Kg,2384,2308
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11715030,Courges local,1,Kg,1148,636
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11715040,Poivron vert local,1,Kg,1715,1473
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11715050,Ails frais local (non décortiqués),1,Kg,8222,8414
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11715060,Carottes local,1,Kg,1447,1363
12.02,Prix moyen à la consommation des ménages,ISTEEBU,1172,Légumes frais en feuilles,"","","",""
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11721010,Choux vert local,1,Kg,217,211
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11722010,Feuilles de manioc,1,Kg,377,318
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11723010,Lengalenga,1,Kg,630,509
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11724010,Poirreaux local,1,Kg,2024,1807
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11724020,Epinard local,1,Kg,1548,818
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11724030,Feuilles de haricot (umukubi),1,Kg,486,619
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11724040,Feuilles de courge (umusoma),1,Kg,616,650
12.02,Prix moyen à la consommation des ménages,ISTEEBU,1173,Légumes secs et oleagineux,"","","",""
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11731010,Arrachides décortiqués local,1,Kg,3680,2711
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11731020,Arrachides grillés local,100,g,1333,762
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11732010,Farine d'arachide locale,1,Kg,4564,4178
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11733010,Haricot sec de couleur blanche,1,Kg,1299,1132
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11733020,Haricot sec de couleur jaune,1,Kg,1621,1444
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11733030,Haricot sec de couleur rouge,1,Kg,1216,1050
